what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1264996310099
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1264996331993
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1264996332907
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1264996333349
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264996341583
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264996344639
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264996348489
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264996359993
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264996365829
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264996367729
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264996368444
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264996369016
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264996499327
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264996501470
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264996503908
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264996506616
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1264996509606
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264996513934
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264996527044
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1264996527055
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1264996527055
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264996530133
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264996548909
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264996550145
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264996559993
