what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264998554019
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264998561172
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264998630631
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264998661216
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264998661241
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264998664470
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264998744836
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264998760156
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264998760177
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264998794071
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264998798159
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264998808713
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264999234267
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264999237789
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264999239305
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264999239904
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264999242891
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264999257147
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264999259039
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264999263022
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264999264180
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264999267608
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1264999267805
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1264999267937
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264999267969
