what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1264995357017
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1264995357054
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1264995359321
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264995365062
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264995365473
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264995384443
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264995385069
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1264995398364
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264995432395
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264995435284
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264995436599
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264995439304
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264995441589
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264995452806
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264995455428
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264995457203
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264995467952
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264995468892
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264995485172
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264995486206
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264995488390
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264995489722
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264995490314
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1264995492399
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264995495074
