what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264995495791
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1264995504285
started,bundle,org.eclipse.mylyn.java.tasks,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.java.tasks",1264995504401
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264995505861
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264995510015
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264995510093
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264995512090
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264995512916
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264995514349
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1264995515149
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264995516748
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1264995516923
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264995518304
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264995521591
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264995521661
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264995524583
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264995527279
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264995530991
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264995532330
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1264995536184
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264995537088
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264995617489
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264995618234
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264995624123
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264995632332
