what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264999876549
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264999879865
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264999888973
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1264999897628
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264999899575
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264999901632
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264999932920
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264999968066
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264999968085
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264999975462
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264999983187
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265000017013
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265000029549
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265000031989
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265000033139
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265000038048
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265000039253
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265000047418
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265000051169
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265000094273
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265000103661
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1265000106335
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1265000113720
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265000114105
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265000162138
