what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264995636038
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264995644120
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264995991842
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264995999001
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264996236231
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264996238201
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1264996238911
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1264996239036
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264996245392
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264996247277
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264996253180
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264996254444
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264996257807
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264996258706
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264996260535
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264996262253
started,bundle,org.eclipse.mylyn.java.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.java.ui",1264996264101
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1264996264813
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1264996265034
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1264996288823
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1264996292033
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264996302966
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264996308728
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264996309507
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.newWizard",1264996309514
