what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264999268838
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264999270002
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1264999270003
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264999270760
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264999274456
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264999276137
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264999278632
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264999351770
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264999357577
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264999643446
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264999648149
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264999652177
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264999655987
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264999733450
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264999742329
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264999764658
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264999771097
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264999819554
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264999822246
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264999851900
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264999852831
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264999852940
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264999872012
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264999873296
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264999874519
